position,ngrams
174,"('find', 'assess', 'assess')"
175,"('assess', 'assess', 'qualiti')"
176,"('assess', 'qualiti', 'program')"
177,"('qualiti', 'program', 'perform')"
178,"('program', 'perform', 'metric')"
179,"('perform', 'metric', 'extent')"
180,"('metric', 'extent', 'necessari')"
181,"('extent', 'necessari', 'perform')"
182,"('necessari', 'perform', 'data')"
183,"('perform', 'data', 'collect')"
184,"('data', 'collect', 'summari')"
185,"('collect', 'summari', 'program')"
186,"('summari', 'program', 'strength')"
187,"('program', 'strength', 'weak')"
188,"('strength', 'weak', 'imped')"
189,"('weak', 'imped', 'contribut')"
190,"('imped', 'contribut', 'failur')"
191,"('contribut', 'failur', 'success')"
192,"('failur', 'success', 'includ')"
193,"('success', 'includ', 'reason')"
194,"('includ', 'reason', 'substanti')"
195,"('reason', 'substanti', 'variat')"
196,"('substanti', 'variat', 'target')"
197,"('variat', 'target', 'level')"
198,"('target', 'level', 'perform')"
199,"('level', 'perform', 'program')"
200,"('perform', 'program', 'descript')"
201,"('program', 'descript', 'extent')"
202,"('descript', 'extent', 'trend')"
203,"('extent', 'trend', 'develop')"
204,"('trend', 'develop', 'emerg')"
205,"('develop', 'emerg', 'condit')"
206,"('emerg', 'condit', 'affect')"
207,"('condit', 'affect', 'need')"
208,"('affect', 'need', 'chang')"
209,"('need', 'chang', 'mission')"
210,"('chang', 'mission', 'program')"
211,"('mission', 'program', 'way')"
212,"('program', 'way', 'program')"
213,"('way', 'program', 'carri')"
214,"('program', 'carri', 'identif')"
215,"('carri', 'identif', 'best')"
216,"('identif', 'best', 'practic')"
217,"('best', 'practic', 'use')"
218,"('practic', 'use', 'program')"
219,"('use', 'program', 'alloc')"
220,"('program', 'alloc', 'resourc')"
221,"('alloc', 'resourc', 'effici')"
222,"('resourc', 'effici', 'effect')"
223,"('effici', 'effect', 'manner')"
224,"('effect', 'manner', 'result')"
225,"('manner', 'result', 'posit')"
226,"('result', 'posit', 'outcom')"
227,"('posit', 'outcom', 'key')"
228,"('outcom', 'key', 'reason')"
229,"('key', 'reason', 'practic')"
230,"('reason', 'practic', 'result')"
231,"('practic', 'result', 'posit')"
232,"('posit', 'outcom', 'recommend')"
233,"('outcom', 'recommend', 'program')"
234,"('recommend', 'program', 'modif')"
235,"('program', 'modif', 'improv')"
236,"('modif', 'improv', 'result')"
237,"('improv', 'result', 'program')"
238,"('result', 'program', 'achiev')"
239,"('program', 'achiev', 'summari')"
240,"('achiev', 'summari', 'key')"
241,"('summari', 'key', 'result')"
242,"('key', 'result', 'program')"
243,"('result', 'program', 'assess')"
244,"('program', 'assess', 'support')"
245,"('assess', 'support', 'maxim')"
246,"('support', 'maxim', 'amount')"
247,"('maxim', 'amount', 'fund')"
248,"('amount', 'fund', 'appropri')"
249,"('fund', 'appropri', 'program')"
250,"('appropri', 'program', 'assess')"
251,"('program', 'assess', 'qualiti')"
252,"('assess', 'qualiti', 'custom')"
253,"('qualiti', 'custom', 'servic')"
254,"('custom', 'servic', 'offer')"
255,"('servic', 'offer', 'recipi')"
256,"('offer', 'recipi', 'fund')"
257,"('recipi', 'fund', 'program')"
258,"('fund', 'program', 'strategi')"
259,"('program', 'strategi', 'improv')"
260,"('strategi', 'improv', 'servic')"
261,"('improv', 'servic', 'cleric')"
262,"('servic', 'cleric', 'amendmentth')"
263,"('cleric', 'amendmentth', 'tabl')"
264,"('amendmentth', 'tabl', 'content')"
265,"('tabl', 'content', 'section')"
266,"('content', 'section', '1b')"
267,"('section', '1b', 'act')"
268,"('1b', 'act', 'amend')"
269,"('act', 'amend', 'ad')"
270,"('ad', 'end', 'item')"
271,"('end', 'item', 'relat')"
272,"('item', 'relat', 'titl')"
273,"('relat', 'titl', 'xx')"
274,"('titl', 'xx', 'follow')"
275,"('xx', 'follow', 'new')"
276,"('follow', 'new', 'item')"
277,"('new', 'item', 'sec')"
278,"('item', 'sec', '2023')"
279,"('perform', 'metric', 'speaker')"
280,"('metric', 'speaker', 'ask')"
281,"('speaker', 'ask', 'unanim')"
282,"('ask', 'unanim', 'consent')"
283,"('unanim', 'consent', 'member')"
284,"('consent', 'member', 'legisl')"
285,"('member', 'legisl', 'day')"
286,"('legisl', 'day', 'revis')"
287,"('day', 'revis', 'extend')"
288,"('revis', 'extend', 'remark')"
289,"('extend', 'remark', 'insert')"
290,"('remark', 'insert', 'extran')"
291,"('insert', 'extran', 'materi')"
292,"('extran', 'materi', 'bill')"
293,"('materi', 'bill', 'consider')"
294,"('bill', 'consider', 'speaker')"
295,"('consider', 'speaker', 'rise')"
296,"('speaker', 'rise', 'support')"
297,"('rise', 'support', 'bill')"
298,"('support', 'bill', 'yield')"
299,"('bill', 'yield', 'time')"
300,"('yield', 'time', 'consum')"
301,"('time', 'consum', 'mr')"
302,"('consum', 'mr', 'speaker')"
303,"('mr', 'speaker', 'congress')"
304,"('speaker', 'congress', 'instruct')"
305,"('congress', 'instruct', 'fema')"
306,"('instruct', 'fema', 'postkatrina')"
307,"('fema', 'postkatrina', 'emerg')"
308,"('postkatrina', 'emerg', 'manag')"
309,"('emerg', 'manag', 'reform')"
310,"('manag', 'reform', 'act')"
311,"('reform', 'act', '2006')"
312,"('act', '2006', 'implement')"
313,"('2006', 'implement', 'recommend')"
314,"('implement', 'recommend', '911')"
315,"('recommend', '911', 'commiss')"
316,"('911', 'commiss', 'act')"
317,"('commiss', 'act', '2007')"
318,"('act', '2007', 'develop')"
319,"('2007', 'develop', 'perform')"
320,"('homeland', 'secur', 'grant')"
321,"('secur', 'grant', 'program')"
322,"('grant', 'program', 'hous')"
323,"('program', 'hous', 'committe')"
324,"('hous', 'committe', 'homeland')"
325,"('committe', 'homeland', 'secur')"
326,"('homeland', 'secur', 'discov')"
327,"('secur', 'discov', 'octob')"
328,"('discov', 'octob', '27')"
329,"('octob', '27', 'subcommitte')"
330,"('27', 'subcommitte', 'hear')"
331,"('subcommitte', 'hear', 'held')"
332,"('hear', 'held', 'rank')"
333,"('held', 'rank', 'member')"
334,"('rank', 'member', 'hear')"
335,"('member', 'hear', 'emerg')"
336,"('hear', 'emerg', 'communic')"
337,"('emerg', 'communic', 'requir')"
338,"('communic', 'requir', 'remain')"
339,"('requir', 'remain', 'poor')"
340,"('remain', 'poor', 'implement')"
341,"('poor', 'implement', 'difficult')"
342,"('implement', 'difficult', 'comprehend')"
343,"('difficult', 'comprehend', 'disconcert')"
344,"('comprehend', 'disconcert', 'fema')"
345,"('disconcert', 'fema', 'still')"
346,"('fema', 'still', 'determin')"
347,"('still', 'determin', 'nation')"
348,"('determin', 'nation', 'overal')"
349,"('nation', 'overal', 'prepared')"
350,"('overal', 'prepared', 'homeland')"
351,"('prepared', 'homeland', 'secur')"
352,"('secur', 'grant', 'help')"
353,"('grant', 'help', 'protect')"
354,"('help', 'protect', 'nation')"
355,"('protect', 'nation', 'act')"
356,"('nation', 'act', 'terror')"
357,"('act', 'terror', 'reason')"
358,"('terror', 'reason', 'come')"
359,"('reason', 'come', 'today')"
360,"('come', 'today', 'ask')"
361,"('today', 'ask', 'support')"
362,"('ask', 'support', 'hr')"
363,"('support', 'hr', '3980')"
364,"('hr', '3980', 'redund')"
365,"('3980', 'redund', 'elimin')"
366,"('grant', 'act', 'legisl')"
367,"('act', 'legisl', 'requir')"
368,"('legisl', 'requir', 'fema')"
369,"('requir', 'fema', 'work')"
370,"('fema', 'work', 'conjunct')"
371,"('work', 'conjunct', 'state')"
372,"('conjunct', 'state', 'local')"
373,"('tribal', 'territori', 'stakehold')"
374,"('territori', 'stakehold', 'develop')"
375,"('stakehold', 'develop', 'plan')"
376,"('develop', 'plan', 'follow')"
377,"('plan', 'follow', 'thing')"
378,"('follow', 'thing', 'streamlin')"
379,"('thing', 'streamlin', 'homeland')"
380,"('streamlin', 'homeland', 'secur')"
381,"('secur', 'grant', 'report')"
382,"('grant', 'report', 'requir')"
383,"('report', 'requir', 'rule')"
384,"('requir', 'rule', 'regul')"
385,"('rule', 'regul', 'elimin')"
386,"('regul', 'elimin', 'redund')"
387,"('redund', 'report', 'creat')"
388,"('report', 'creat', 'strategi')"
389,"('creat', 'strategi', 'includ')"
390,"('strategi', 'includ', 'timet')"
391,"('includ', 'timet', 'establish')"
392,"('timet', 'establish', 'much')"
393,"('establish', 'much', 'need')"
394,"('much', 'need', 'perform')"
395,"('need', 'perform', 'metric')"
396,"('perform', 'metric', 'grant')"
397,"('metric', 'grant', 'program')"
398,"('grant', 'program', 'ensur')"
399,"('program', 'ensur', 'fund')"
400,"('ensur', 'fund', 'direct')"
401,"('fund', 'direct', 'area')"
402,"('direct', 'area', 'best')"
403,"('area', 'best', 'spent')"
404,"('best', 'spent', 'requir')"
405,"('spent', 'requir', 'fema')"
406,"('requir', 'fema', 'take')"
407,"('fema', 'take', 'inventori')"
408,"('take', 'inventori', 'homeland')"
409,"('inventori', 'homeland', 'secur')"
410,"('grant', 'program', 'includ')"
411,"('program', 'includ', 'purpos')"
412,"('includ', 'purpos', 'object')"
413,"('perform', 'goal', 'plan')"
414,"('goal', 'plan', 'submit')"
415,"('plan', 'submit', 'appropri')"
416,"('submit', 'appropri', 'congression')"
417,"('appropri', 'congression', 'committe')"
418,"('congression', 'committe', 'later')"
419,"('committe', 'later', '120')"
420,"('120', 'day', 'bill')"
421,"('day', 'bill', 'enact')"
422,"('bill', 'enact', 'updat')"
423,"('enact', 'updat', 'biannual')"
424,"('updat', 'biannual', 'ensur')"
425,"('biannual', 'ensur', 'committe')"
426,"('ensur', 'committe', 'abl')"
427,"('committe', 'abl', 'maintain')"
428,"('abl', 'maintain', 'watch')"
429,"('maintain', 'watch', 'eye')"
430,"('watch', 'eye', 'oversight')"
431,"('eye', 'oversight', 'redund')"
432,"('oversight', 'redund', 'law')"
433,"('redund', 'law', 'might')"
434,"('law', 'might', 'confus')"
435,"('might', 'confus', 'grant')"
436,"('confus', 'grant', 'recipi')"
437,"('grant', 'recipi', 'local')"
438,"('recipi', 'local', 'level')"
439,"('local', 'level', 'bill')"
440,"('level', 'bill', 'help')"
441,"('bill', 'help', 'identifi')"
442,"('help', 'identifi', 'ineffici')"
443,"('identifi', 'ineffici', 'dhs')"
444,"('ineffici', 'dhs', 'grant')"
445,"('dhs', 'grant', 'program')"
446,"('grant', 'program', 'bill')"
447,"('program', 'bill', 'increas')"
448,"('bill', 'increas', 'qualiti')"
449,"('increas', 'qualiti', 'servic')"
450,"('qualiti', 'servic', 'receiv')"
451,"('servic', 'receiv', 'dhs')"
452,"('receiv', 'dhs', 'grant')"
453,"('dhs', 'grant', 'recipi')"
454,"('grant', 'recipi', 'urg')"
455,"('recipi', 'urg', 'colleagu')"
456,"('urg', 'colleagu', 'support')"
457,"('colleagu', 'support', 'import')"
458,"('support', 'import', 'legisl')"
459,"('import', 'legisl', 'hous')"
460,"('legisl', 'hous', 'repres')"
461,"('hous', 'repres', 'committe')"
462,"('repres', 'committe', 'transport')"
463,"('committe', 'transport', 'infrastructur')"
464,"('transport', 'infrastructur', 'washington')"
465,"('infrastructur', 'washington', 'dc')"
466,"('washington', 'dc', 'decemb')"
467,"('dc', 'decemb', '2009')"
468,"('decemb', '2009', 'hon')"
469,"('2009', 'hon', 'benni')"
470,"('hon', 'benni', 'thompson')"
471,"('benni', 'thompson', 'chairman')"
472,"('thompson', 'chairman', 'committe')"
473,"('chairman', 'committe', 'homeland')"
474,"('homeland', 'secur', 'washington')"
475,"('secur', 'washington', 'dc')"
476,"('washington', 'dc', 'dear')"
477,"('dc', 'dear', 'chairman')"
478,"('dear', 'chairman', 'thompson')"
479,"('chairman', 'thompson', 'write')"
480,"('thompson', 'write', 'regard')"
481,"('write', 'regard', 'hr')"
482,"('regard', 'hr', '3980')"
483,"('grant', 'act', 'hr')"
484,"('act', 'hr', '3980')"
485,"('hr', '3980', 'contain')"
486,"('3980', 'contain', 'provis')"
487,"('contain', 'provis', 'fall')"
488,"('provis', 'fall', 'jurisdict')"
489,"('fall', 'jurisdict', 'committe')"
490,"('jurisdict', 'committe', 'transport')"
491,"('transport', 'infrastructur', 'recogn')"
492,"('infrastructur', 'recogn', 'appreci')"
493,"('recogn', 'appreci', 'desir')"
494,"('appreci', 'desir', 'bring')"
495,"('desir', 'bring', 'legisl')"
496,"('bring', 'legisl', 'hous')"
497,"('legisl', 'hous', 'expediti')"
498,"('hous', 'expediti', 'manner')"
499,"('expediti', 'manner', 'accord')"
500,"('manner', 'accord', 'seek')"
501,"('accord', 'seek', 'sequenti')"
502,"('seek', 'sequenti', 'referr')"
503,"('sequenti', 'referr', 'bill')"
504,"('referr', 'bill', 'agre')"
505,"('bill', 'agre', 'waiv')"
506,"('agre', 'waiv', 'consider')"
507,"('waiv', 'consider', 'bill')"
508,"('consider', 'bill', 'mutual')"
509,"('bill', 'mutual', 'understand')"
510,"('mutual', 'understand', 'decis')"
511,"('understand', 'decis', 'forgo')"
512,"('decis', 'forgo', 'sequenti')"
513,"('forgo', 'sequenti', 'referr')"
514,"('referr', 'bill', 'waiv')"
515,"('bill', 'waiv', 'reduc')"
516,"('waiv', 'reduc', 'otherwis')"
517,"('reduc', 'otherwis', 'affect')"
518,"('otherwis', 'affect', 'jurisdict')"
519,"('affect', 'jurisdict', 'committe')"
520,"('transport', 'infrastructur', 'hr')"
521,"('infrastructur', 'hr', '3980')"
522,"('hr', '3980', 'committe')"
523,"('3980', 'committe', 'transport')"
524,"('transport', 'infrastructur', 'reserv')"
525,"('infrastructur', 'reserv', 'right')"
526,"('reserv', 'right', 'seek')"
527,"('right', 'seek', 'appoint')"
528,"('seek', 'appoint', 'confere')"
529,"('appoint', 'confere', 'housesen')"
530,"('confere', 'housesen', 'confer')"
531,"('housesen', 'confer', 'conven')"
532,"('confer', 'conven', 'legisl')"
533,"('conven', 'legisl', 'provis')"
534,"('legisl', 'provis', 'bill')"
535,"('provis', 'bill', 'committe')"
536,"('bill', 'committe', 'jurisdict')"
537,"('committe', 'jurisdict', 'ask')"
538,"('jurisdict', 'ask', 'commit')"
539,"('ask', 'commit', 'support')"
540,"('commit', 'support', 'request')"
541,"('support', 'request', 'committe')"
542,"('request', 'committe', 'transport')"
543,"('transport', 'infrastructur', 'appoint')"
544,"('infrastructur', 'appoint', 'confere')"
545,"('appoint', 'confere', 'hr')"
546,"('confere', 'hr', '3980')"
547,"('hr', '3980', 'similar')"
548,"('3980', 'similar', 'legisl')"
549,"('similar', 'legisl', 'pleas')"
550,"('legisl', 'pleas', 'place')"
551,"('pleas', 'place', 'copi')"
552,"('place', 'copi', 'letter')"
553,"('copi', 'letter', 'respons')"
554,"('letter', 'respons', 'acknowledg')"
555,"('respons', 'acknowledg', 'committe')"
556,"('acknowledg', 'committe', 'transport')"
557,"('transport', 'infrastructur', 'jurisdict')"
558,"('infrastructur', 'jurisdict', 'interest')"
559,"('jurisdict', 'interest', 'committe')"
560,"('interest', 'committe', 'report')"
561,"('committe', 'report', 'hr')"
562,"('report', 'hr', '3980')"
563,"('hr', '3980', 'congression')"
564,"('3980', 'congression', 'record')"
565,"('congression', 'record', 'consider')"
566,"('record', 'consider', 'measur')"
567,"('consider', 'measur', 'hous')"
568,"('measur', 'hous', 'look')"
569,"('hous', 'look', 'forward')"
570,"('look', 'forward', 'work')"
571,"('forward', 'work', 'prepar')"
572,"('work', 'prepar', 'pass')"
573,"('prepar', 'pass', 'import')"
574,"('pass', 'import', 'legisl')"
575,"('import', 'legisl', 'sincer')"
576,"('legisl', 'sincer', 'jame')"
577,"('sincer', 'jame', 'oberstar')"
578,"('jame', 'oberstar', 'chairman')"
579,"('oberstar', 'chairman', 'hous')"
580,"('chairman', 'hous', 'repres')"
581,"('repres', 'committe', 'homeland')"
582,"('2009', 'hon', 'jame')"
583,"('hon', 'jame', 'oberstar')"
584,"('oberstar', 'chairman', 'committe')"
585,"('chairman', 'committe', 'transport')"
586,"('transport', 'infrastructur', 'hous')"
587,"('infrastructur', 'hous', 'repres')"
588,"('hous', 'repres', 'washington')"
589,"('repres', 'washington', 'dc')"
590,"('dear', 'chairman', 'oberstar')"
591,"('chairman', 'oberstar', 'thank')"
592,"('oberstar', 'thank', 'letter')"
593,"('thank', 'letter', 'regard')"
594,"('letter', 'regard', 'hr')"
595,"('grant', 'act', 'introduc')"
596,"('act', 'introduc', 'congressman')"
597,"('introduc', 'congressman', 'henri')"
598,"('congressman', 'henri', 'cuellar')"
599,"('henri', 'cuellar', 'novemb')"
600,"('cuellar', 'novemb', '2009')"
601,"('novemb', '2009', 'appreci')"
602,"('2009', 'appreci', 'willing')"
603,"('appreci', 'willing', 'work')"
604,"('willing', 'work', 'cooper')"
605,"('work', 'cooper', 'legisl')"
606,"('cooper', 'legisl', 'acknowledg')"
607,"('legisl', 'acknowledg', 'committe')"
608,"('jurisdict', 'interest', 'certain')"
609,"('interest', 'certain', 'provis')"
610,"('certain', 'provis', 'hr')"
611,"('provis', 'hr', '3980')"
612,"('hr', '3980', 'appreci')"
613,"('3980', 'appreci', 'agreement')"
614,"('appreci', 'agreement', 'seek')"
615,"('agreement', 'seek', 'sequenti')"
616,"('sequenti', 'referr', 'legisl')"
617,"('referr', 'legisl', 'acknowledg')"
618,"('legisl', 'acknowledg', 'decis')"
619,"('acknowledg', 'decis', 'forgo')"
620,"('sequenti', 'referr', 'waiv')"
621,"('referr', 'waiv', 'alter')"
622,"('waiv', 'alter', 'otherwis')"
623,"('alter', 'otherwis', 'affect')"
624,"('infrastructur', 'recogn', 'committe')"
625,"('recogn', 'committe', 'reserv')"
626,"('committe', 'reserv', 'right')"
627,"('appoint', 'confere', 'bill')"
628,"('confere', 'bill', 'portion')"
629,"('bill', 'portion', 'bill')"
630,"('portion', 'bill', 'committe')"
631,"('committe', 'jurisdict', 'interest')"
632,"('jurisdict', 'interest', 'agre')"
633,"('interest', 'agre', 'support')"
634,"('agre', 'support', 'request')"
635,"('support', 'request', 'ensur')"
636,"('request', 'ensur', 'exchang')"
637,"('ensur', 'exchang', 'letter')"
638,"('exchang', 'letter', 'includ')"
639,"('letter', 'includ', 'legisl')"
640,"('includ', 'legisl', 'report')"
641,"('legisl', 'report', 'hr')"
642,"('congression', 'record', 'floor')"
643,"('record', 'floor', 'consider')"
644,"('floor', 'consider', 'bill')"
645,"('consider', 'bill', 'look')"
646,"('bill', 'look', 'forward')"
647,"('forward', 'work', 'legisl')"
648,"('work', 'legisl', 'matter')"
649,"('legisl', 'matter', 'great')"
650,"('matter', 'great', 'import')"
651,"('great', 'import', 'nation')"
652,"('import', 'nation', 'sincer')"
653,"('nation', 'sincer', 'benni')"
654,"('sincer', 'benni', 'thompson')"
655,"('thompson', 'chairman', 'reserv')"
656,"('chairman', 'reserv', 'balanc')"
657,"('reserv', 'balanc', 'time')"
658,"('balanc', 'time', 'mr')"
659,"('time', 'mr', 'speaker')"
660,"('presid', 'ask', 'unanim')"
661,"('unanim', 'consent', 'order')"
662,"('consent', 'order', 'quorum')"
663,"('order', 'quorum', 'call')"
664,"('quorum', 'call', 'rescind')"
665,"('call', 'rescind', 'presid')"
666,"('rescind', 'presid', 'divis')"
667,"('presid', 'divis', 'omnibus')"
668,"('divis', 'omnibus', 'confer')"
669,"('omnibus', 'confer', 'agreement')"
670,"('confer', 'agreement', 'provid')"
671,"('agreement', 'provid', 'fund')"
672,"('provid', 'fund', 'state')"
673,"('fund', 'state', 'depart')"
674,"('state', 'depart', 'foreign')"
675,"('depart', 'foreign', 'oper')"
676,"('foreign', 'oper', 'relat')"
677,"('oper', 'relat', 'program')"
678,"('relat', 'program', 'want')"
679,"('program', 'want', 'thank')"
680,"('want', 'thank', 'rank')"
681,"('thank', 'rank', 'member')"
682,"('rank', 'member', 'subcommitte')"
683,"('member', 'subcommitte', 'senat')"
684,"('subcommitte', 'senat', 'gregg')"
685,"('senat', 'gregg', 'capabl')"
686,"('gregg', 'capabl', 'staff')"
687,"('capabl', 'staff', 'paul')"
688,"('staff', 'paul', 'grove')"
689,"('paul', 'grove', 'michel')"
690,"('grove', 'michel', 'wymer')"
691,"('michel', 'wymer', 'work')"
692,"('wymer', 'work', 'staff')"
693,"('work', 'staff', 'bipartisan')"
694,"('staff', 'bipartisan', 'manner')"
695,"('bipartisan', 'manner', 'produc')"
696,"('manner', 'produc', 'confer')"
697,"('produc', 'confer', 'agreement')"
698,"('confer', 'agreement', 'want')"
699,"('agreement', 'want', 'thank')"
700,"('want', 'thank', 'chairwoman')"
701,"('thank', 'chairwoman', 'nita')"
702,"('chairwoman', 'nita', 'lowey')"
703,"('nita', 'lowey', 'rank')"
704,"('lowey', 'rank', 'member')"
705,"('rank', 'member', 'kay')"
706,"('member', 'kay', 'granger')"
707,"('kay', 'granger', 'staff')"
708,"('granger', 'staff', 'work')"
709,"('staff', 'work', 'cooper')"
710,"('work', 'cooper', 'us')"
711,"('cooper', 'us', 'throughout')"
712,"('us', 'throughout', 'process')"
713,"('throughout', 'process', 'fiscal')"
714,"('process', 'fiscal', 'year')"
715,"('fiscal', 'year', '2010')"
716,"('year', '2010', 'state')"
717,"('2010', 'state', 'foreign')"
718,"('state', 'foreign', 'oper')"
719,"('foreign', 'oper', 'confer')"
720,"('oper', 'confer', 'agreement')"
721,"('agreement', 'provid', '488')"
